I . Mercado de Trabajo
Paro registrado
Parados por Barrios
4.1.C. Paro registrado por Mes y Sexo según Distrito y Barrio (desde noviembre de 2017)
;;;Junio;Junio
2019;08. Fuencarral-El Pardo;085. La Paz;879;542
2019;08. Fuencarral-El Pardo;086. Valverde;2.572;1.513
2019;08. Fuencarral-El Pardo;087. Mirasierra;814;492
2019;08. Fuencarral-El Pardo;088. El Goloso;382;244
2019;09. Moncloa-Aravaca;09. Moncloa-Aravaca;3.854;2.148
2019;09. Moncloa-Aravaca;090. No consta;169;78
2019;09. Moncloa-Aravaca;091. Casa de Campo;534;270
2019;09. Moncloa-Aravaca;092. Argüelles;739;414
2019;09. Moncloa-Aravaca;093. Ciudad Universitaria;416;227
2019;09. Moncloa-Aravaca;094. Valdezarza;1.238;741
2019;09. Moncloa-Aravaca;095. Valdemarín;119;69
2019;09. Moncloa-Aravaca;096. El Plantío;47;29
2019;09. Moncloa-Aravaca;097. Aravaca;592;320
2019;10. Latina;10. Latina;12.518;7.021
2019;10. Latina;100. No consta;353;172
2019;10. Latina;101. Los Cármenes;1.256;705
2019;10. Latina;102. Puerta del Ángel;2.516;1.326
2019;10. Latina;103. Lucero;1.935;1.079
2019;10. Latina;104. Aluche;2.987;1.717
2019;10. Latina;105. Campamento;838;477
2019;10. Latina;106. Cuatro Vientos;296;200
2019;10. Latina;107. Águilas;2.337;1.345
2019;11. Carabanchel;11. Carabanchel;15.530;8.830
2019;11. Carabanchel;110. No consta;370;184
2019;11. Carabanchel;111. Comillas;1.307;747
2019;11. Carabanchel;112. Opañel;1.806;1.024
2019;11. Carabanchel;113. San Isidro;2.860;1.608
2019;11. Carabanchel;114. Vista Alegre;2.560;1.428
2019;11. Carabanchel;115. Puerta Bonita;2.335;1.310
2019;11. Carabanchel;116. Buenavista;2.417;1.431
2019;11. Carabanchel;117. Abrantes;1.875;1.098
2019;12. Usera;12. Usera;9.095;5.166
2019;12. Usera;120. No consta;163;64
2019;12. Usera;121. Orcasitas;1.431;870
2019;12. Usera;122. Orcasur;1.141;659
2019;12. Usera;123. San Fermín;1.652;921
2019;12. Usera;124. Almendrales;1.346;756
2019;12. Usera;125. Moscardó;1.438;820
2019;12. Usera;126. Zofío;875;492
2019;12. Usera;127. Pradolongo;1.049;584
2019;13. Puente de Vallecas;13. Puente de Vallecas;17.353;9.568
2019;13. Puente de Vallecas;130. No consta;308;146
2019;13. Puente de Vallecas;131. Entrevías;2.912;1.489
2019;13. Puente de Vallecas;132. San Diego;3.132;1.681
2019;13. Puente de Vallecas;133. Palomeras Bajas;2.595;1.465
2019;13. Puente de Vallecas;134. Palomeras Sureste;2.833;1.627
2019;13. Puente de Vallecas;135. Portazgo;2.154;1.224
2019;13. Puente de Vallecas;136. Numancia;3.419;1.936
2019;14. Moratalaz;14. Moratalaz;4.787;2.784
2019;14. Moratalaz;140. No consta;90;42
2019;14. Moratalaz;141. Pavones;497;286
2019;14. Moratalaz;142. Horcajo;343;211
2019;14. Moratalaz;143. Marroquina;1.202;722
2019;14. Moratalaz;144. Media Legua;944;536
2019;14. Moratalaz;145. Fontarrón;965;549
2019;14. Moratalaz;146. Vinateros;746;438
2019;15. Ciudad Lineal;15. Ciudad Lineal;9.868;5.659
2019;15. Ciudad Lineal;150. No consta;246;117
2019;15. Ciudad Lineal;151. Ventas;2.432;1.357
2019;15. Ciudad Lineal;152. Pueblo Nuevo;2.988;1.722
2019;15. Ciudad Lineal;153. Quintana;1.210;677
2019;15. Ciudad Lineal;154. Concepción;910;546
2019;15. Ciudad Lineal;155. San Pascual;757;435
2019;15. Ciudad Lineal;156. San Juan Bautista;386;222
2019;15. Ciudad Lineal;157. Colina;234;154
2019;15. Ciudad Lineal;158. Atalaya;42;30
2019;15. Ciudad Lineal;159. Costillares;663;399
2019;16. Hortaleza;16. Hortaleza;7.470;4.416
2019;16. Hortaleza;160. No consta;202;95
2019;16. Hortaleza;161. Palomas;172;102
2019;16. Hortaleza;162. Piovera;337;211
2019;16. Hortaleza;163. Canillas;1.644;983
2019;16. Hortaleza;164. Pinar del Rey;2.520;1.491
2019;16. Hortaleza;165. Apóstol Santiago;769;422
2019;16. Hortaleza;166. Valdefuentes;1.826;1.112
2019;17. Villaverde;17. Villaverde;10.325;5.934
2019;17. Villaverde;170. No consta;155;70
2019;17. Villaverde;"171. Villaverde Alto, Casco Histórico de Villaverde";3.490;1.978
2019;17. Villaverde;172. San Cristóbal;1.483;813
2019;17. Villaverde;173. Butarque;1.064;674
2019;17. Villaverde;174. Los Rosales;2.277;1.341
2019;17. Villaverde;175. Ángeles;1.856;1.058
2019;18. Villa de Vallecas;18. Villa de Vallecas;7.040;4.185
2019;18. Villa de Vallecas;180. No consta;66;30
2019;18. Villa de Vallecas;181. Casco Histórico de Vallecas;3.189;1.798
2019;18. Villa de Vallecas;182. Santa Eugenia;1.449;851
2019;18. Villa de Vallecas;183. Ensanche de Vallecas;2.336;1.506
2019;19. Vicálvaro;19. Vicálvaro;4.273;2.481
2019;19. Vicálvaro;190. No consta;71;32
2019;19. Vicálvaro;191. Casco Histórico de Vicálvaro;2.385;1.306
2019;19. Vicálvaro;192. Valdebernardo;1.148;689
2019;19. Vicálvaro;193. Valderribas;599;408
2019;19. Vicálvaro;194. El Cañaveral;70;46
2019;20. San Blas-Canillejas;20. San Blas-Canillejas;8.354;4.787
2019;20. San Blas-Canillejas;200. No consta;171;85
2019;20. San Blas-Canillejas;201. Simancas;1.527;839
2019;20. San Blas-Canillejas;202. Hellín;657;374
2019;20. San Blas-Canillejas;203. Amposta;719;384
2019;20. San Blas-Canillejas;204. Arcos;1.526;828
2019;20. San Blas-Canillejas;205. Rosas;1.167;751
2019;20. San Blas-Canillejas;206. Rejas;667;393
2019;20. San Blas-Canillejas;207. Canillejas;1.490;876
2019;20. San Blas-Canillejas;208. El Salvador;430;257
2019;21. Barajas;21. Barajas;1.769;1.056
2019;21. Barajas;210. No consta;49;31
2019;21. Barajas;211. Alameda de Osuna;542;328
2019;21. Barajas;212. Aeropuerto;98;56
2019;21. Barajas;213. Casco Histórico de Barajas;379;212
2019;21. Barajas;214. Timón;494;300
2019;21. Barajas;215. Corralejos;207;129
;
;
Fuente: Servicio Público de Empleo Estatal. Elaboración: Subdirección General de Estadística. Ayuntamiento de Madrid
"Observaciones: No consta"" dentro de cada Distrito representa el número de parados que, aún habiéndose asignado por medios probabilísticos el Distrito de residencia, no es posible la asignación de Barrio."
